# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 173859, Nsubhalos_Total = 176186
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.49977 -1.63639 -1.40726     8757
 9.00000 -1.47340 -1.58778 -1.37168    10564
 9.33333 -1.44159 -1.53893 -1.35477    13060
 9.66667 -1.43271 -1.51110 -1.35209     6179
10.00000 -1.39568 -1.47215 -1.31875     3044
10.33333 -1.36472 -1.44593 -1.29061     1302
10.66667 -1.34527 -1.42903 -1.28590      457
11.00000 -1.32540 -1.37524 -1.28627      139
11.33333 -1.31492 -1.34762 -1.28781       65
11.66667 -1.30442 -1.32794 -1.29051       25
12.00000 -1.31602 -1.33569 -1.30445        9
12.33333 -1.31203 -1.31909 -1.30496        2
