# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 162469, Nsubhalos_Total = 172237
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.86611 -2.02675 -1.73671     1161
 9.00000 -1.71377 -1.80625 -1.60209      943
 9.33333 -1.62585 -1.71619 -1.54161      671
 9.66667 -1.57705 -1.64451 -1.49072      490
10.00000 -1.51983 -1.58686 -1.44696      330
10.33333 -1.49206 -1.57277 -1.43659      256
10.66667 -1.55108 -1.67328 -1.45056      168
11.00000 -1.61720 -1.69516 -1.51553      109
11.33333 -1.58714 -1.64973 -1.53851       61
11.66667 -1.54797 -1.62590 -1.49297       48
12.00000 -1.52484 -1.59351 -1.46324       15
12.33333 -1.56501 -1.59992 -1.45298        8
