# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 146752, Nsubhalos_Total = 166451
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.51561 -1.64384 -1.42533     7809
 9.00000 -1.49829 -1.60974 -1.39808     9149
 9.33333 -1.48631 -1.58121 -1.38635     8773
 9.66667 -1.48296 -1.57246 -1.38845     4688
10.00000 -1.46680 -1.64005 -1.37969     2264
10.33333 -1.47716 -1.83610 -1.39117      896
10.66667 -1.46251 -1.87369 -1.36449      304
11.00000 -1.35923 -1.46457 -1.31294      126
11.33333 -1.33236 -1.39068 -1.30527       51
11.66667 -1.33243 -1.37236 -1.30776       22
12.00000 -1.35185 -1.42688 -1.33104        8
12.33333 -1.32832 -1.34781 -1.32825        3
