# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 172487, Nsubhalos_Total = 203885
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -1.82257 -1.93251 -1.71654    15419
 9.00000 -1.76072 -1.88433 -1.66028    14035
 9.33333 -1.71360 -1.87517 -1.61167     8070
 9.66667 -1.65522 -1.94981 -1.55983     4463
10.00000 -1.60123 -1.92815 -1.50559     2345
10.33333 -1.67501 -1.92491 -1.47961      940
10.66667 -1.66503 -1.82330 -1.53837      288
11.00000 -1.58639 -1.68656 -1.52856       87
11.33333 -1.53513 -1.58809 -1.50842       23
11.66667 -1.55142 -1.60424 -1.52451        4
12.00000 -1.60212 -1.60212 -1.60212        1
12.33333      nan      nan      nan        0
