# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 170355, Nsubhalos_Total = 175627
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.37994 -2.56142 -2.21034      125
 9.00000 -2.15148 -2.28569 -1.99521       97
 9.33333 -1.95753 -2.09551 -1.86535      118
 9.66667 -1.83760 -1.91950 -1.72015       97
10.00000 -1.75500 -1.86534 -1.66021       79
10.33333 -1.70090 -2.06805 -1.61922       38
10.66667 -1.63893 -1.72331 -1.53090       16
11.00000 -2.00217 -2.00217 -2.00217        1
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
