# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 206917, Nsubhalos_Total = 237170
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.71946 -2.92225 -2.51961     1318
 9.00000 -2.53372 -2.74772 -2.37769      638
 9.33333 -2.38735 -2.64004 -2.24597      366
 9.66667 -2.27092 -2.68049 -2.11394      244
10.00000 -2.14038 -2.50037 -1.95338      120
10.33333 -2.04710 -2.50524 -1.82957       56
10.66667 -2.02461 -2.21718 -1.86376        9
11.00000      nan      nan      nan        0
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
