# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 205281, Nsubhalos_Total = 236604
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.87957 -3.09026 -2.65713     1004
 9.00000 -2.51909 -2.71039 -2.35270      481
 9.33333 -2.29105 -2.41257 -2.16007      339
 9.66667 -2.09303 -2.19421 -1.97714      307
10.00000 -1.93694 -2.03311 -1.83129      230
10.33333 -1.81633 -1.89374 -1.73754      157
10.66667 -1.75001 -1.80259 -1.65274       71
11.00000 -1.64247 -1.71333 -1.58201       31
11.33333 -1.56494 -1.59212 -1.55331        7
11.66667 -1.48575 -1.49663 -1.47487        2
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
