# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 204959, Nsubhalos_Total = 235641
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.46781 -2.61435 -2.31174     1030
 9.00000 -2.27447 -2.38375 -2.15430      655
 9.33333 -2.08490 -2.19767 -1.98235      476
 9.66667 -1.95560 -2.05815 -1.86233      402
10.00000 -1.83618 -1.91622 -1.74469      271
10.33333 -1.73859 -1.82320 -1.68113      173
10.66667 -1.69550 -1.78733 -1.62831       77
11.00000 -1.64896 -1.74943 -1.58352       37
11.33333 -1.57615 -1.70585 -1.51913        7
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
