# z = 5.896, a = 0.145, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 148556, Nsubhalos_Total = 164574
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.34164 -2.43224 -2.26269      642
 9.00000 -2.26431 -2.35260 -2.18858      235
 9.33333 -2.17933 -2.24161 -2.11447       87
 9.66667 -2.08074 -2.13300 -2.01847       44
10.00000 -1.94275 -2.02688 -1.88648       10
10.33333 -1.84355 -1.84355 -1.84355        1
10.66667      nan      nan      nan        0
11.00000      nan      nan      nan        0
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
