# z = 5.896, a = 0.145, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 148600, Nsubhalos_Total = 164270
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.71850 -2.82384 -2.60976      642
 9.00000 -2.61182 -2.71755 -2.52130      241
 9.33333 -2.51448 -2.58815 -2.44942       94
 9.66667 -2.41690 -2.46317 -2.35222       42
10.00000 -2.29437 -2.36811 -2.25825       10
10.33333 -2.16590 -2.16590 -2.16590        1
10.66667      nan      nan      nan        0
11.00000      nan      nan      nan        0
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
