# z = 5.896, a = 0.145, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 149166, Nsubhalos_Total = 163726
# Mstar, metallicity(median), metallicity(16%tile), metallicity(84%tile), #(gal)
 8.66667 -2.98479 -3.10750 -2.89344       38
 9.00000 -2.72353 -2.88184 -2.60613       21
 9.33333 -2.57243 -2.69772 -2.41084       14
 9.66667 -2.31132 -2.35322 -2.24911        5
10.00000 -2.12751 -2.12751 -2.12751        1
10.33333      nan      nan      nan        0
10.66667      nan      nan      nan        0
11.00000      nan      nan      nan        0
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
