# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 173859, Nsubhalos_Total = 176186
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.96900 -1.20594 -0.70162     8750
 9.00000 -0.68791 -0.92316 -0.45193    10547
 9.33333 -0.46937 -0.70409 -0.24454    13016
 9.66667 -0.21580 -0.47197 -0.00796     6095
10.00000  0.02038 -0.35687  0.24018     2888
10.33333  0.19300 -0.30685  0.43962     1105
10.66667  0.24321 -0.12957  0.57768      285
11.00000  0.25496  0.02804  0.49326       59
11.33333  0.51474  0.29073  0.63531       22
11.66667  0.72557  0.62770  0.93395        6
12.00000  1.12799  1.07752  1.17847        2
12.33333  1.34474  1.34474  1.34474        1
