# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 169733, Nsubhalos_Total = 174524
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.72937 -0.94966 -0.54016     1074
 9.00000 -0.47689 -0.68189 -0.30344      930
 9.33333 -0.26037 -0.44698 -0.08616      761
 9.66667 -0.03369 -0.29178  0.17394      545
10.00000  0.15140 -0.23204  0.36997      382
10.33333  0.41593 -0.14182  0.71744      216
10.66667  0.79456  0.00912  1.12213      108
11.00000  1.14005  0.41522  1.47154       61
11.33333  1.43964  0.69689  1.81063       26
11.66667  1.65708  0.92169  1.82906       10
12.00000  0.94750  0.94750  0.94750        1
12.33333      nan      nan      nan        0
