# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 180022, Nsubhalos_Total = 176859
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.73849 -0.95616 -0.55230     1140
 9.00000 -0.46398 -0.63944 -0.29694      913
 9.33333 -0.22988 -0.44917 -0.06003      685
 9.66667 -0.08052 -0.45915  0.12505      519
10.00000 -0.09162 -0.62887  0.23643      262
10.33333 -0.12898 -0.49058  0.29990       75
10.66667  0.21310 -0.22720  0.47802       26
11.00000  0.17195  0.02122  0.52107        8
11.33333  0.61809  0.61809  0.61809        1
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
