# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 25.00 Mpc/h, Ngroups_Total = 23258, Nsubhalos_Total = 26520
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.32460 -0.58136 -0.13709      152
 9.00000  0.00845 -0.14946  0.20126       89
 9.33333  0.29864  0.16074  0.45007       61
 9.66667  0.51480  0.26799  0.70770       77
10.00000  0.81514  0.66579  0.97288       51
10.33333  1.11518  0.90020  1.30334       34
10.66667  1.37122  0.92228  1.60588       16
11.00000  1.63200  0.97181  1.86035       14
11.33333  1.77109  1.77109  1.77109        1
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
