# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 192413, Nsubhalos_Total = 211390
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.38444 -0.70279 -0.20064     1639
 9.00000 -0.49088 -1.18027 -0.14583     1307
 9.33333 -0.47313 -1.22717  0.23027      278
 9.66667 -0.13151 -0.90770  0.50854      156
10.00000 -0.00694 -0.57783  0.76368       99
10.33333  0.15799 -0.30861  0.96043       47
10.66667  0.42543 -0.00463  0.87467       22
11.00000  0.99029  0.14476  1.13847        7
11.33333      nan      nan      nan        0
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
