# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 184448, Nsubhalos_Total = 207815
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.35121 -0.62934 -0.14150     1295
 9.00000  0.05713 -0.10472  0.22300      716
 9.33333  0.36401  0.22094  0.53220      543
 9.66667  0.59061  0.43740  0.77104      422
10.00000  0.82744  0.66930  0.98142      384
10.33333  1.05047  0.90740  1.23559      281
10.66667  1.36314  1.17735  1.54853      162
11.00000  1.74882  1.48842  1.91768       86
11.33333  2.11623  1.91114  2.31182       38
11.66667  2.36071  2.22334  2.48020       16
12.00000  2.52851  2.49768  2.58863        3
12.33333      nan      nan      nan        0
