# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 184955, Nsubhalos_Total = 211626
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.40230 -0.59430 -0.22931    14635
 9.00000 -0.19519 -0.36271 -0.04052    17268
 9.33333 -0.00054 -0.21859  0.17927     9467
 9.66667  0.24834 -0.07483  0.43820     4282
10.00000  0.46331 -0.11258  0.66842     2144
10.33333  0.66420 -0.01699  0.91796      835
10.66667  0.59900  0.04296  1.12154      282
11.00000  0.70065  0.38989  1.00428       72
11.33333  1.10725  0.90235  1.38555       23
11.66667  1.49017  1.35498  1.62364        4
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
