# z = 1.041, a = 0.490, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 183752, Nsubhalos_Total = 207404
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667 -0.32610 -0.56249 -0.12365     1202
 9.00000  0.03854 -0.13927  0.20290      788
 9.33333  0.30091  0.04215  0.48321      661
 9.66667  0.53526  0.35008  0.70272      484
10.00000  0.78802  0.45999  0.97533      407
10.33333  0.99325  0.54180  1.19969      263
10.66667  1.21957  0.60262  1.51371      136
11.00000  1.52105  0.98324  1.80137       69
11.33333  1.91076  1.61280  2.03770       34
11.66667  0.81029  0.81029  0.81029        1
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
