# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 197862, Nsubhalos_Total = 236708
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667  0.01494 -0.14956  0.17021    12919
 9.00000  0.27548  0.02700  0.44221     9150
 9.33333  0.54912 -0.50254  0.72736     5149
 9.66667  0.82352  0.07385  0.99441     2842
10.00000  1.04314  0.41411  1.24559     1306
10.33333  1.22624  0.77503  1.45025      566
10.66667  1.34762  0.93582  1.59594      152
11.00000  1.63710  1.18505  1.81275       24
11.33333  1.79234  1.60463  1.98697        4
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
