# z = 2.213, a = 0.311, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 204959, Nsubhalos_Total = 235641
# Mstar, SFR(median), SFR(16%tile), SFR(84%tile), #(gal)
 8.66667  0.06970 -0.12086  0.26686     1029
 9.00000  0.45202  0.29016  0.61473      655
 9.33333  0.75300  0.58344  0.92036      476
 9.66667  1.06776  0.90597  1.21570      402
10.00000  1.32179  1.17568  1.46206      270
10.33333  1.55261  1.38303  1.76130      170
10.66667  1.86565  1.54072  2.06135       75
11.00000  2.06679  1.52441  2.33240       35
11.33333  1.91750  1.29238  2.54733        6
11.66667      nan      nan      nan        0
12.00000      nan      nan      nan        0
12.33333      nan      nan      nan        0
